Controls,Pair,Task,Deception,Conflict,Gender,Age,Topic,FeltClose,FeltUnderstood,Understood,DiffFeltClose,DiffFeltUnderstood,DiffUnderstood,SpeechbeatRR,SpeechbeatDET,SpeechbeatL,SpeechbeatLMAX,SpeechbeatENTR,SpeechbeatT2
2,54,2,0,1,3,18.5,1,4.5,5.5,6,1,1,0,0.0420365,0.0759039,2.01811,3,0.0905775,16.9833
2,56,2,0,1,1,19.5,5,5,5,4.5,0,0,1,0.00448512,0.00797314,2,2,NaN,115.717
2,59,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,60,2,1,1,3,19.5,1,4.5,5.5,5.5,1,1,1,0.0131999,0.0286748,2.00922,3,0.0523699,53.0083
2,62,2,1,1,3,18.5,2,5,5.5,5,2,1,2,0.0938225,0.210946,2.13076,6,0.404224,11.3969
2,65,2,0,1,1,21,7,3.5,4.5,5.5,1,1,1,0.0211203,0.0386647,2.02946,3,0.13287,36.1453
2,66,2,0,1,1,19.5,4,4.5,5,5,1,0,0,0.0534234,0.112231,2.04804,4,0.194704,16.2984
2,67,2,1,1,3,18.5,1,3.5,4.5,5.5,1,1,1,0.103998,0.220681,2.12316,5,0.387021,9.62557
2,68,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,71,2,0,1,3,18.5,7,6,5.5,6,0,1,0,0.0106535,0.0233217,2,2,NaN,61.3361
2,72,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,74,2,1,1,0,18.5,10,4,5,5,0,0,0,0.00842137,0.0147584,2.02128,3,0.102967,57.7591
2,75,2,0,1,0,20,2,4.5,5,5.5,1,2,1,0.0468498,0.10937,2.0594,4,0.22856,18.597
2,48,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,49,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,50,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,52,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,53,3,0,1,1,18,7,6,6,6,0,0,0,0.0369546,0.062594,2.02566,4,0.119913,22.2229
2,54,3,1,1,3,18.5,6,4,5.5,5.5,2,1,1,0.0135703,0.0294058,2.00461,3,0.0293898,38.3444
2,56,3,1,1,1,19.5,7,4.5,4.5,5,1,1,0,0.00422917,0.0103896,2,2,NaN,126.04
2,59,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,60,3,0,1,3,19.5,5,5,5.5,5.5,2,1,1,0.0133689,0.0257524,2.01456,3,0.0760477,52.7236
2,62,3,0,1,3,18.5,7,5,5,5.5,0,0,1,0.0160252,0.0345019,2.01626,3,0.0831034,46.7465
2,65,3,1,1,1,21,1,4,5.5,5,0,1,0,0.0158025,0.0424625,2.01263,3,0.0677711,47.2211
2,66,3,1,1,1,19.5,7,4,4.5,4.5,0,1,1,0.03949,0.100605,2.04303,4,0.179234,22.0476
2,67,3,0,1,3,18.5,7,2.5,4,3.5,1,2,1,0.0563051,0.116201,2.06256,5,0.237315,16.2963
2,68,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,71,3,1,1,3,18.5,5,6,6,6,0,0,0,0.00836894,0.0149481,2.01136,3,0.0621776,84.0052
2,72,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,74,3,0,1,0,18.5,1,4,4.5,5,0,1,0,0.00451955,0.0107457,2,2,NaN,97.2557
2,75,3,1,1,0,20,1,5,5,5.5,0,2,1,0.0361117,0.0727303,2.04327,4,0.179862,21.6097
3,7,2,0,0,1,18,1,4.5,5,5.5,1,0,1,0.0331947,0.600114,2.86354,17,1.24239,48.7067
3,8,2,0,0,3,19,2,4.5,5,5.5,1,2,1,0.0544947,0.669067,2.91079,13,1.30496,34.7527
